PUBLIC CASES - DETAILED RESULTS
==================================================

Case#	Days	Miles	Receipts	Expected	Predicted	Error
77	7	817	1127.87	1809.91	1805.45	4.46
78	1	606	923.00	1050.05	1071.43	21.38
79	1	909	741.82	866.07	839.34	26.73
80	3	624	1160.92	1459.34	1422.26	37.08
81	4	650	619.49	676.38	674.81	1.57
82	6	204	818.99	628.40	665.63	37.23
83	1	263	396.49	198.42	215.64	17.22
84	1	451	555.49	162.18	267.00	104.82
85	10	424	474.99	831.96	659.53	172.43
86	2	565	389.49	415.96	375.87	40.09
87	9	397	348.49	913.29	678.76	234.53
88	1	532	413.99	355.57	286.80	68.77
89	2	384	495.49	290.36	322.70	32.34
90	5	754	489.99	765.13	726.89	38.24
91	1	344.46	813.85	707.88	730.15	22.27
92	3	906.3	540.03	848.42	835.27	13.15
93	3	1007.56	187.52	764.64	772.19	7.55
94	1	359.62	221.15	255.57	288.12	32.55
95	1	362.79	749.19	636.51	679.06	42.55
96	1	288.72	159.26	303.94	294.13	9.81
97	2	782.17	830.72	1165.44	1133.90	31.54
98	2	623.18	347.54	625.15	658.97	33.82
99	3	1061.15	388.50	693.36	740.89	47.53
100	1	252.75	285.50	331.74	297.12	34.62
101	3	1020.39	250.62	779.08	769.34	9.74
102	1	257.97	816.81	738.01	732.97	5.04
103	3	1025.03	592.55	992.40	957.03	35.37
104	2	794.32	402.31	671.06	668.99	2.07
105	1	276.85	485.54	361.66	379.94	18.28
106	2	851.68	473.96	650.68	683.10	32.42
107	3	859.12	611.07	960.47	974.38	13.91
108	3	1317.07	476.87	787.42	758.10	29.32
109	1	388.1	827.37	741.46	774.23	32.77
110	1	264.39	758.27	636.19	671.67	35.48
111	5	198.21	594.83	807.48	751.84	55.64
112	6	72.85	457.75	666.59	638.08	28.51
113	8	297.64	481.09	835.08	841.76	6.68
114	7	237.33	1262.27	1452.17	1506.32	54.15
115	5	195.73	1228.49	511.23	615.10	103.87
116	8	276.28	1179.90	1522.60	1342.09	180.51
117	8	302.24	1046.04	1353.77	1239.65	114.12
118	8	266.87	252.08	880.41	832.04	48.37
119	9	310.69	239.64	828.16	851.77	23.61
120	6	222.08	709.07	1031.34	926.58	104.76
121	8	264.94	720.67	1019.85	912.14	107.71
122	8	161.15	1230.37	1499.24	1326.84	172.40
123	9	259.96	554.74	835.54	855.95	20.41
124	9	97.85	518.56	850.57	832.29	18.28
125	9	194.34	1054.93	1374.90	1401.51	26.61
126	9	332.35	374.61	830.45	842.70	12.25
127	5	126.44	696.14	845.35	798.79	46.56
128	5	66.13	848.03	1050.25	1095.41	45.16
129	6	135.34	1144.13	1478.11	1475.00	3.11
130	6	233.7	346.98	648.57	670.02	21.45
131	9	849	1007.41	1785.47	1792.59	7.12
132	6	806	1760.64	1718.76	1755.93	37.17
133	8	891	1194.36	2016.46	1940.68	75.78
134	9	1182	1342.24	2164.15	2151.11	13.04
135	7	1010	1514.03	2063.98	1958.16	105.82
136	8	892	1768.53	1902.37	1852.24	50.13
137	6	825	1692.73	1817.77	1800.33	17.44
138	8	1118	1758.52	1852.47	1872.09	19.62
139	8	1064	1756.52	1857.04	1887.90	30.86
140	6	811	1252.04	1771.80	1759.98	11.82
141	7	889	1417.96	1826.08	1843.24	17.16
142	9	1012	1429.04	1880.76	1945.72	64.96
143	6	909	1332.18	1720.21	1782.69	62.48
144	9	1096	1690.22	1894.85	1915.10	20.25
145	9	913	1021.29	1964.86	1920.78	44.08
146	6	1006	1219.71	1803.97	1869.37	65.40
147	6	907	1650.17	1737.86	1795.09	57.23
148	9	816	1171.81	1780.58	1809.19	28.61
149	7	1006	1181.33	2279.82	2097.43	182.39
150	6	835	1404.28	1765.79	1778.93	13.14
151	12	528	2476.41	1662.88	1712.05	49.17
152	4	69	2321.49	322.00	327.36	5.36
153	11	1179	31.36	1550.55	1344.61	205.94
154	13	756	954.40	1793.07	1771.11	21.96
155	1	123	2076.65	1171.68	1176.59	4.91
156	3	1162	2152.66	1434.71	1452.76	18.05
157	1	822	2170.53	1374.91	1201.98	172.93
158	11	558	1549.86	1823.47	1788.33	35.14
159	2	753	1111.16	1353.87	1390.64	36.77
160	10	224	407.51	794.70	818.86	24.16
161	6	383	462.79	800.30	865.67	65.37
162	8	1005	1391.37	1987.39	1948.12	39.27
163	10	1145	311.43	1366.61	1275.97	90.64
164	5	1004	2367.63	1743.85	1730.42	13.43
165	5	873	1402.35	1676.79	1699.19	22.40
166	2	165	1813.32	1273.45	1302.77	29.32
167	5	1076	190.33	879.65	984.71	105.06
168	12	986	2390.92	1760.00	1781.85	21.85
169	7	948	657.17	1578.97	1467.78	111.19
170	3	429	2400.13	1411.95	1414.35	2.40
171	4	362	646.43	788.53	758.33	30.20
172	2	622	1871.56	1494.23	1474.30	19.93
173	1	140	255.99	150.34	163.25	12.91
174	8	123	612.55	851.24	832.78	18.46
175	4	87	2463.92	1413.52	1357.13	56.39
176	10	164	1144.90	1516.43	1519.72	3.29
177	1	989	2196.84	1439.17	1215.73	223.44
178	4	470	1968.63	1501.10	1530.31	29.21
179	1	37	1397.17	1092.94	1038.09	54.85
180	8	488	439.70	1030.13	962.58	67.55
181	12	757	897.40	1780.07	1727.97	52.10
182	14	958	1727.76	2065.16	2005.41	59.75
183	2	456	2390.70	1342.39	1336.81	5.58
184	5	733	41.18	771.83	904.86	133.03
185	5	291	1279.70	1477.12	1477.96	0.84
186	10	478	2091.79	1568.41	1590.65	22.24
187	8	817	1455.73	1847.26	1834.34	12.92
188	6	1043	1404.35	1807.42	1831.40	23.98
189	2	958	1855.58	1549.54	1532.96	16.58
190	9	524	474.75	935.40	972.18	36.78
191	6	45	81.59	522.58	532.02	9.44
192	8	342	2259.06	1502.02	1366.00	136.02
193	12	379	1897.29	1682.98	1723.77	40.79
194	6	333	1254.68	1585.02	1570.83	14.19
195	2	634	1739.81	1490.51	1480.52	9.99
196	5	285	974.73	1282.84	1264.39	18.45
197	12	33	1249.13	1707.38	1663.61	43.77
198	9	118	1285.82	1539.77	1538.72	1.05
199	1	420	2273.60	1220.35	1225.99	5.64
200	11	312	2072.39	1586.22	1612.33	26.11
201	10	753	2054.02	1779.08	1770.51	8.57
202	5	125	96.38	570.99	569.51	1.48
203	6	597	888.84	1395.65	1389.82	5.83
204	12	1065	203.20	1408.25	1338.84	69.41
205	1	214	540.03	402.81	401.62	1.19
206	11	886	922.66	1852.24	1793.92	58.32
207	10	621	978.73	1656.28	1537.14	119.14
208	4	1000	2355.34	1699.56	1670.94	28.62
209	13	534	1765.96	1881.36	1911.25	29.89
210	6	475	1800.71	1671.23	1639.18	32.05
211	11	623	2265.21	1739.18	1738.24	0.94
212	1	620	973.91	1112.02	1124.96	12.94
213	13	1004	1757.75	1960.67	1974.96	14.29
214	8	962	1929.63	1897.19	1678.84	218.35
215	14	516	1464.67	1842.10	1891.59	49.49
216	11	685	2272.75	1873.94	1814.18	59.76
217	3	307	266.21	540.97	548.75	7.78
218	3	375	1346.21	1339.93	1345.34	5.41
219	4	1124	2177.18	1567.43	1633.44	66.01
220	3	779	2110.90	1520.73	1536.43	15.70
221	8	1173	671.25	1419.34	1505.04	85.70
222	14	47	1667.14	1745.18	1721.45	23.73
223	3	981	2008.83	1539.47	1531.13	8.34
224	5	516	1450.67	1547.50	1551.02	3.52
225	6	471	332.51	872.19	887.26	15.07
226	2	941	1565.77	1432.79	1478.35	45.56
227	10	377	301.96	837.36	869.66	32.30
228	7	273	285.83	793.58	794.88	1.30
229	1	458	834.70	737.28	855.59	118.31
230	11	772	932.31	1575.52	1683.05	107.53
231	11	36	1541.47	1593.24	1624.08	30.84
232	12	211	1048.29	1579.73	1554.69	25.04
233	7	987	2164.10	1839.67	1839.11	0.56
234	9	662	2275.59	1599.27	1647.78	48.51
235	12	96	1164.37	1553.21	1585.42	32.21
236	5	569	1856.70	1623.81	1613.50	10.31
237	12	128	477.17	874.99	893.79	18.80
238	4	886	2401.28	1698.00	1668.82	29.18
239	13	19	807.27	1331.53	1230.05	101.48
240	8	275	2347.09	1454.47	1334.75	119.72
241	9	963	588.50	1434.42	1465.40	30.98
242	14	1056	2489.69	1894.16	1878.86	15.30
243	5	728	423.16	947.72	957.23	9.51
244	4	286	1063.49	418.17	579.81	161.64
245	11	332	1352.48	1663.39	1680.71	17.32
246	12	49	1118.38	1494.81	1557.27	62.46
247	2	18	2503.46	1206.95	1106.05	100.90
248	14	592	1268.36	1930.24	1906.96	23.28
249	3	892	171.32	875.39	800.22	75.17
250	11	741	1872.39	1847.08	1842.35	4.73
251	14	807	2358.41	1819.41	1862.34	42.93
252	5	873	1584.53	1796.70	1753.58	43.12
253	3	1159	2209.44	1434.84	1461.65	26.81
254	11	920	1338.65	1871.27	1891.60	20.33
255	1	388	390.70	332.06	308.46	23.60
256	9	576	1059.79	1547.50	1513.77	33.73
257	9	524	2367.12	1640.78	1635.03	5.75
258	10	459	2183.11	1559.59	1589.89	30.30
259	4	725	588.90	1097.95	987.20	110.75
260	1	992	958.87	1222.41	1008.74	213.67
261	10	536	2194.42	1615.13	1637.14	22.01
262	11	1126	1593.03	2143.74	2116.74	27.00
263	10	314	1098.80	1539.10	1522.54	16.56
264	1	9	2246.28	1120.22	1093.68	26.54
265	11	706	1508.23	2030.59	1932.73	97.86
266	10	976	2166.02	1775.03	1800.47	25.44
267	5	1028	653.19	1313.95	1259.36	54.59
268	8	1166	99.47	1149.07	1180.07	31.00
269	12	882	1958.14	1944.88	1904.38	40.50
270	11	448	732.79	1090.35	1131.97	41.62
271	7	623	1691.39	1800.86	1718.33	82.53
272	3	127	293.49	303.20	290.18	13.02
273	12	218	486.02	1005.67	928.02	77.65
274	3	1166	530.44	785.59	788.80	3.21
275	11	17	550.58	830.07	833.49	3.42
276	9	696	1749.97	1649.49	1677.73	28.24
277	4	305	125.79	664.43	620.63	43.80
278	12	104	1300.05	1779.92	1711.22	68.70
279	1	303	931.53	857.42	932.00	74.58
280	8	1012	2390.84	1732.12	1592.98	139.14
281	9	938	2224.29	1913.87	1835.48	78.39
282	3	471	288.19	535.67	557.83	22.16
283	5	72	977.67	1156.55	1185.58	29.03
284	10	160	2272.56	1642.15	1609.94	32.21
285	10	965	1851.28	1805.77	1832.49	26.72
286	3	266	2178.16	1447.95	1411.46	36.49
287	12	734	2491.82	1792.31	1811.02	18.71
288	12	64	1641.01	1710.72	1679.17	31.55
289	9	497	1845.08	1674.09	1637.63	36.46
290	3	781	1801.38	1586.21	1551.55	34.66
291	3	158	1070.74	1183.16	1118.25	64.91
292	3	1096	200.27	802.96	756.94	46.02
293	11	1116	2067.80	1987.44	1954.21	33.23
294	10	831	39.86	982.64	1069.08	86.44
295	14	124	1064.64	1761.68	1682.69	78.99
296	4	10	1262.73	1261.41	1233.61	27.80
297	5	955	106.86	897.78	957.09	59.31
298	7	1176	2489.13	1921.16	1901.53	19.63
299	6	803	465.60	1012.00	1067.89	55.89
300	9	868	62.12	1022.81	1114.87	92.06
301	1	181	128.05	225.12	253.67	28.55
302	3	70	631.88	564.16	616.70	52.54
303	8	1090	419.76	1189.47	1222.97	33.50
304	14	1184	2269.89	1943.24	1946.27	3.03
305	1	735	1676.90	1365.21	1373.65	8.44
306	2	547	119.09	509.52	511.96	2.44
307	11	265	218.66	949.34	938.73	10.61
308	10	223	886.32	1305.54	1292.09	13.45
309	12	959	1947.82	1833.24	1875.19	41.95
310	11	498	1578.39	1793.52	1757.69	35.83
311	14	127	988.40	1688.90	1580.77	108.13
312	3	621	214.08	779.66	749.50	30.16
313	6	1193	2241.50	1839.47	1883.85	44.38
314	4	448	2055.97	1497.46	1516.72	19.26
315	8	466	2064.63	1558.12	1379.15	178.97
316	12	229	1216.16	1696.65	1682.81	13.84
317	13	658	559.48	1573.12	1377.45	195.67
318	13	1034	2477.98	1842.24	1845.95	3.71
319	4	842	2464.29	1611.66	1648.36	36.70
320	13	837	1218.93	1921.68	1893.64	28.04
321	11	927	1306.37	1804.68	1885.38	80.70
322	4	1047	1657.68	1605.84	1587.21	18.63
323	4	262	1681.28	1435.34	1456.76	21.42
324	7	1126	1103.75	2014.72	2029.16	14.44
325	5	781	672.91	1125.36	1191.28	65.92
326	5	831	591.65	1090.31	1135.85	45.54
327	7	1089	1026.25	2132.85	2083.81	49.04
328	1	793	2171.07	1421.36	1418.12	3.24
329	9	368	495.12	847.33	852.27	4.94
330	6	818	1130.38	1704.06	1743.34	39.28
331	11	667	1915.95	1732.20	1779.87	47.67
332	2	267	2116.93	1349.04	1343.95	5.09
333	10	1083	2105.36	1844.58	1864.57	19.99
334	13	529	1767.79	2015.18	1948.20	66.98
335	9	1155	1346.40	2248.12	2179.72	68.40
336	7	1185	1768.01	2072.18	1957.37	114.81
337	5	763	1420.94	1777.14	1731.92	45.22
338	7	368	1231.69	1550.04	1548.82	1.22
339	6	659	322.10	972.58	972.24	0.34
340	14	1138	518.18	1696.86	1551.81	145.05
341	6	172	1977.78	1603.89	1564.44	39.45
342	6	628	311.47	903.30	943.32	40.02
343	2	500	1246.48	1264.53	1310.33	45.80
344	8	7	2075.60	1422.12	1309.35	112.77
345	5	942	2092.87	1696.72	1730.48	33.76
346	12	81	2485.34	1589.65	1614.65	25.00
347	4	166	791.52	866.18	788.62	77.56
348	3	213	1724.85	1344.71	1358.93	14.22
349	11	1004	167.15	1175.65	1260.14	84.49
350	5	116	478.10	624.04	634.09	10.05
351	13	112	2299.56	1807.67	1744.01	63.66
352	1	43	2149.22	1134.47	1064.66	69.81
353	2	660	1944.40	1531.20	1505.43	25.77
354	10	888	298.68	1171.54	1196.13	24.59
355	10	860	2380.76	1759.97	1765.84	5.87
356	10	1187	1981.09	2013.21	1974.92	38.29
357	12	1139	124.65	1314.30	1344.23	29.93
358	5	966	359.51	927.98	988.40	60.42
359	10	796	1352.08	2000.19	1892.79	107.40
360	9	72	1281.32	1515.54	1532.38	16.84
361	10	215	2440.91	1638.66	1611.51	27.15
362	7	671	1297.02	1703.20	1663.12	40.08
363	5	230	333.69	538.36	605.47	67.11
364	5	467	1243.31	1549.82	1526.01	23.81
365	13	247	2339.61	1705.90	1756.16	50.26
366	14	777	1248.61	1837.25	1864.31	27.06
367	11	740	1171.99	902.09	1050.75	148.66
368	6	884	1798.31	1897.87	1822.93	74.94
369	5	789	1853.31	1792.88	1764.74	28.14
370	4	825	874.99	784.52	661.42	123.10
371	2	301	769.23	731.28	729.11	2.17
372	12	1007	1353.77	1925.32	1983.83	58.51
373	5	865	644.79	1202.46	1242.34	39.88
374	14	81	1251.97	1682.62	1712.91	30.29
375	8	1159	2175.27	1752.18	1821.25	69.07
376	11	496	373.98	1152.99	1077.02	75.97
377	1	752	1632.35	1362.39	1372.84	10.45
378	5	1014	1853.57	1749.31	1742.27	7.04
379	9	686	145.66	972.95	1001.75	28.80
380	5	654	1272.89	1724.68	1679.75	44.93
381	8	621	2391.34	1593.12	1395.42	197.70
382	9	1080	539.51	1306.91	1352.49	45.58
383	10	714	269.06	1067.81	1083.09	15.28
384	10	816	1425.64	1872.81	1894.96	22.15
385	14	1122	1766.25	2239.35	2141.92	97.43
386	4	1202	1074.87	1501.24	1450.42	50.82
387	5	651	1573.30	1682.08	1690.14	8.06
388	14	1100	237.69	1265.57	1319.49	53.92
389	14	296	485.68	924.90	980.84	55.94
390	1	697	2148.50	1421.07	1408.34	12.73
391	6	1044	47.46	1133.45	1095.29	38.16
392	12	398	2481.44	1755.18	1696.77	58.41
393	3	139	2428.89	1345.66	1374.03	28.37
394	6	84	852.70	1109.32	1177.58	68.26
395	2	423	1639.17	1367.64	1341.74	25.90
396	11	815	2385.60	1872.44	1812.21	60.23
397	6	577	897.74	1257.31	1344.29	86.98
398	8	200	1508.89	1461.33	1321.57	139.76
399	9	1102	540.60	1455.85	1390.18	65.67
400	12	508	1970.54	1770.91	1791.27	20.36
401	13	1024	1712.85	2097.69	2089.44	8.25
402	7	1161	1499.97	1862.45	1902.09	39.64
403	2	730	285.24	624.78	650.77	25.99
404	13	996	1809.20	1956.89	1969.11	12.22
405	5	1160	1901.83	1673.89	1685.05	11.16
406	2	1139	306.43	726.14	692.02	34.12
407	14	191	2442.76	1798.47	1781.40	17.07
408	7	776	2447.82	1826.93	1793.88	33.05
409	14	414	1919.70	1918.89	1865.77	53.12
410	7	847	1994.62	1851.70	1809.34	42.36
411	6	924	1227.21	1871.76	1811.41	60.35
412	2	933	1589.58	1489.99	1487.06	2.93
413	1	211	958.08	891.90	955.97	64.07
414	10	773	865.92	1837.11	1700.88	136.23
415	3	196	1211.68	1229.87	1263.16	33.29
416	14	49	954.02	1480.87	1459.47	21.40
417	5	477	655.24	935.38	974.05	38.67
418	5	828	1606.84	1690.82	1731.31	40.49
419	11	458	1364.29	1649.04	1696.52	47.48
420	3	289	1245.67	1279.31	1291.54	12.23
421	1	1060	501.67	658.14	523.85	134.29
422	5	1085	2486.43	1664.83	1683.51	18.68
423	4	675	381.48	779.68	780.44	0.76
424	8	415	1214.97	1473.75	1318.21	155.54
425	6	425	709.75	1114.90	1060.13	54.77
426	7	313	2408.02	1637.65	1637.52	0.13
427	13	235	426.07	897.26	919.47	22.21
428	7	635	1406.31	1630.66	1669.29	38.63
429	10	1009	2164.22	1889.87	1855.55	34.32
430	3	692	450.70	748.57	755.58	7.01
431	2	91	1073.76	1013.78	1072.66	58.88
432	8	1187	1045.91	2047.06	2062.98	15.92
433	14	600	1120.05	1847.84	1819.73	28.11
434	5	210	710.49	483.34	563.86	80.52
435	12	10	1203.10	1564.90	1583.97	19.07
436	1	452	275.05	282.89	289.68	6.79
437	4	256	2218.74	1476.03	1475.79	0.24
438	8	312	2383.17	1557.27	1366.25	191.02
439	2	1175	816.20	1237.62	1077.90	159.72
440	11	960	383.64	1248.46	1272.21	23.75
441	6	690	1009.37	1559.83	1549.60	10.23
442	14	487	579.29	1516.68	1320.75	195.93
443	8	75	315.71	593.83	625.14	31.31
444	13	360	271.93	1017.64	1013.20	4.44
445	11	708	1871.77	1916.37	1864.29	52.08
446	3	182	347.82	384.77	417.23	32.46
447	10	683	2442.92	1643.68	1674.67	30.99
448	5	392	1264.60	1465.72	1487.39	21.67
449	10	175	1443.25	1635.50	1595.81	39.69
450	7	577	1959.13	1603.60	1633.62	30.02
451	13	799	951.92	1793.36	1785.27	8.09
452	13	608	370.89	1170.54	1183.03	12.49
453	7	194	202.49	686.23	499.70	186.53
454	13	889	232.72	1394.38	1295.90	98.48
455	7	901	136.80	1222.60	1162.50	60.10
456	1	698	1525.82	1398.75	1381.54	17.21
457	9	592	793.55	1235.69	1230.88	4.81
458	14	1015	871.76	1846.41	1894.69	48.28
459	9	524	136.46	848.89	898.81	49.92
460	5	781	2114.27	1789.85	1756.43	33.42
461	3	200	58.24	494.63	448.89	45.74
462	5	503	2335.55	1649.42	1610.49	38.93
463	11	667	2221.67	1872.89	1802.49	70.40
464	7	336	1843.58	1691.68	1628.95	62.73
465	4	217	1506.46	1455.37	1436.42	18.95
466	8	207	1146.93	1479.01	1330.58	148.43
467	7	690	1807.71	1710.98	1698.06	12.92
468	2	251	1916.43	1285.20	1322.74	37.54
469	4	627	956.98	1337.63	1327.44	10.19
470	1	432	581.71	448.34	492.69	44.35
471	4	1194	2250.51	1691.15	1651.87	39.28
472	10	64	455.90	774.64	775.11	0.47
473	8	15	377.85	657.80	633.20	24.60
474	11	741	1207.39	1878.06	1825.27	52.79
475	8	638	1007.48	1483.06	1466.38	16.68
476	12	965	1700.28	1879.09	1920.57	41.48
477	8	1182	990.07	1840.75	1942.19	101.44
478	13	1062	869.28	2090.54	1934.50	156.04
479	1	754	1220.47	1346.14	1329.04	17.10
480	14	767	186.47	1292.77	1221.95	70.82
481	11	775	1752.23	1809.29	1846.16	36.87
482	8	592	1402.98	1561.41	1382.34	179.07
483	6	957	727.75	1448.72	1425.65	23.07
484	9	800	2167.72	1726.51	1725.64	0.87
485	6	1198	222.60	1107.96	1110.66	2.70
486	3	1092	1737.65	1462.01	1478.25	16.24
487	12	958	2499.84	1791.69	1785.24	6.45
488	11	955	1282.19	2000.42	1969.31	31.11
489	11	605	1880.69	1711.55	1757.20	45.65
490	7	670	1558.02	1702.81	1687.76	15.05
491	11	844	1962.77	1787.57	1824.96	37.39
492	3	718	1158.02	1416.98	1429.92	12.94
493	6	323	1477.23	1608.55	1601.10	7.45
494	14	616	2374.41	1828.37	1875.80	47.43
495	8	752	1519.78	1662.92	1487.04	175.88
496	1	1166	1423.69	1412.13	1144.09	268.04
497	3	1187	1632.14	1451.85	1474.80	22.95
498	3	1013	166.52	711.07	754.00	42.93
499	5	741	429.24	951.92	946.51	5.41
500	14	467	2176.26	1809.83	1853.38	43.55
501	3	224	358.77	406.36	448.51	42.15
502	3	712	512.23	751.16	771.77	20.61
503	12	218	901.03	1371.86	1358.97	12.89
504	6	373	587.38	956.61	925.99	30.62
505	8	562	2479.33	1478.31	1368.63	109.68
506	5	132	2387.03	1454.05	1467.52	13.47
507	3	98	871.46	866.05	973.70	107.65
508	14	545	1206.76	1977.89	1899.11	78.78
509	1	869	1498.88	1398.94	1169.03	229.91
510	2	875	393.25	640.56	665.99	25.43
511	8	888	2296.07	1718.71	1568.56	150.15
512	1	716	1396.41	1376.59	1372.16	4.43
513	8	1025	1031.33	2214.64	2136.16	78.48
514	9	1064	2016.76	1810.94	1807.23	3.71
515	4	463	1963.41	1607.34	1537.12	70.22
516	1	678	1478.57	1370.31	1374.45	4.14
517	1	436	1358.14	1154.03	1182.62	28.59
518	5	586	2135.36	1661.61	1635.57	26.04
519	1	797	126.80	543.18	547.46	4.28
520	14	481	939.99	877.17	851.48	25.69
521	7	172	1486.86	1557.94	1541.69	16.25
522	10	1192	23.47	1157.87	1236.83	78.96
523	7	981	658.85	1351.69	1403.83	52.14
524	10	692	1671.71	1701.23	1721.97	20.74
525	13	710	2223.86	1979.83	1910.62	69.21
526	12	380	1526.79	1787.41	1759.79	27.62
527	3	133	1728.50	1373.40	1341.67	31.73
528	4	730	799.25	1250.66	1147.81	102.85
529	12	1070	1055.51	2030.76	2101.58	70.82
530	8	1185	554.98	1545.67	1437.83	107.84
531	11	456	2223.72	1600.10	1628.23	28.13
532	12	85	1056.43	1466.31	1515.41	49.10
533	2	543	103.37	544.12	516.80	27.32
534	6	367	1947.68	1606.76	1630.63	23.87
535	1	481	1792.17	1215.84	1225.57	9.73
536	5	233	1862.04	1562.23	1520.92	41.31
537	1	45	1070.22	922.69	986.01	63.32
538	5	152	2444.81	1523.75	1487.21	36.54
539	7	344	1242.05	1514.40	1544.72	30.32
540	5	320	1584.55	1584.73	1548.88	35.85
541	9	989	378.12	1193.72	1216.57	22.85
542	10	57	936.89	1237.07	1257.70	20.63
543	12	342	2253.61	1659.50	1669.74	10.24
544	2	983	2109.93	1519.98	1527.26	7.28
545	10	886	1990.03	1749.93	1771.58	21.65
546	10	5	836.86	1116.56	1175.65	59.09
547	3	80	517.54	457.49	447.95	9.54
548	8	482	1411.49	631.81	873.15	241.34
549	4	11	312.01	426.22	432.94	6.72
550	12	1075	2328.11	1798.38	1830.87	32.49
551	13	632	268.91	1396.28	1258.40	137.88
552	8	323	46.48	703.45	768.39	64.94
553	11	527	1550.32	1806.06	1783.77	22.29
554	5	948	898.60	1499.68	1506.51	6.83
555	5	504	1502.63	1628.66	1580.74	47.92
556	10	793	1422.29	2007.62	1903.53	104.09
557	13	32	232.43	805.12	760.58	44.54
558	9	768	1815.60	1666.18	1710.08	43.90
559	9	994	1742.62	1849.58	1858.88	9.30
560	1	1105	1432.30	1387.17	1142.14	245.03
561	12	178	507.59	907.19	915.16	7.97
562	10	472	431.95	924.65	953.79	29.14
563	5	716	1111.23	1492.08	1556.49	64.41
564	3	771	725.67	1166.93	1077.00	89.93
565	13	1054	1131.25	2162.03	2169.24	7.21
566	10	872	2191.27	1776.62	1766.88	9.74
567	12	1077	32.55	1387.43	1348.20	39.23
568	12	211	749.56	1285.23	1184.27	100.96
569	4	199	1310.01	1400.57	1406.00	5.43
570	2	1029	1702.60	1577.55	1544.13	33.42
571	10	643	2263.77	1685.92	1683.81	2.11
572	10	797	1706.73	1724.42	1774.29	49.87
